recording_id,subject,status,error,n_channels,sfreq,n_samples,frontal_irr3,frontal_irr3_surr,frontal_irr4,frontal_irr4_surr,frontal_incr,frontal_incr_surr,posterior_irr3,posterior_irr3_surr,posterior_irr4,posterior_irr4_surr,posterior_incr,posterior_incr_surr
02-2010-anest 20100210 135.014,02,ok,,91,250,10000,0.00012566696,0.000234857,0.00037673313,0.00054604059,-0.018487678,0.0076025735,0.00011628867,0.00091763999,0.00032069122,0.00058284443,0.022090299,-0.01758505
03-2010-anest 20100211 142.021,03,ok,,91,250,10000,0.00020709075,0.00013017954,0.00070446753,0.00097206696,-0.031497295,0.0087576682,0.00033081058,0.000121398,0.00073994887,0.00098810324,-0.087376765,0.0080652433
05-2010-anest 20100223 095.022,05,ok,,91,250,10000,0.00027456283,0.00020506678,0.00050232805,0.0010586583,0.0038135171,-0.020844627,0.00021611709,0.00014946885,0.00069008363,0.00065648358,0.015272673,0.0027506772
06-2010-anest 20100224 093.013,06,ok,,91,250,10000,0.00031188182,0.00014835469,0.0004658224,0.00050563767,-0.025647842,0.031795602,0.0002974126,0.00016284723,0.00064225063,0.00075998927,-0.001272687,0.018364828
07-2010-anest 20100226 133.021,07,ok,,91,250,10000,0.00020537656,0.00010471713,0.00043589049,0.00049502923,-0.015224281,-0.012837762,0.00028776324,0.00012286492,0.00057228804,0.00053987576,-0.0070366317,0.0069670709
08-2010-anest 20100301 095.015,08,ok,,91,250,10000,0.00028272205,0.00044255106,0.00069366355,0.00064231004,0.017300875,0.011797897,0.00029003118,9.2810456e-05,0.00046899695,0.00047943934,-0.018361922,-0.0024238934
09-2010-anest 20100301 135.021,09,ok,,91,250,10000,0.0002632312,0.00032876726,0.0005291086,0.00047133417,0.020399864,-0.0076633979,0.00030367038,0.00018967201,0.0004872102,0.00072202639,0.069934326,0.033956057
10-2010-anest 20100305 130.015,10,ok,,91,250,10000,0.00022532649,0.00011563341,0.00082540552,0.00065478874,-0.0078367092,0.021883878,0.00017280654,0.00030251994,0.00041554616,0.00068977747,0.015037597,-0.01353968
13-2010-anest 20100322 132.013,13,ok,,91,250,10000,0.00062978505,0.00016933945,0.00096677744,0.00060104766,-0.11705004,0.010463298,0.00083080376,0.00029637271,0.00098100964,0.00088126248,0.19195517,-0.0026296419
14-2010-anest 20100324 132.016,14,ok,,91,250,10000,0.00015224229,0.00026946387,0.00061259743,0.00063965051,0.009242047,0.0022266334,0.00024178494,0.00026807118,0.00066103212,0.00068891316,-0.12511493,0.019999336
18-2010-anest 20100331 140.014,18,ok,,91,250,10000,0.00030120939,0.00016921905,0.00058464685,0.00047119125,-0.016816135,0.018933266,0.00072493292,0.00022138847,0.00086678618,0.00050764902,0.12571218,-0.0027438107
20-2010-anest 20100414 131.022,20,ok,,91,250,10000,0.00016909887,0.00014432262,0.00075794716,0.00053408685,-0.042174065,-0.00048540549,0.00018409989,0.00023458925,0.00059762138,0.00054354373,0.068380692,-0.0045817278
22-2010-anest 20100415 132.014,22,ok,,91,250,10000,0.00023788856,0.00024162344,0.00070706415,0.00057907459,0.013028651,0.026445442,0.00040567299,0.00016716115,0.00071218118,0.00057194097,0.015212514,-0.016753321
23-2010-anest 20100420 094.022,23,ok,,91,250,10000,0.00011573273,0.00027876226,0.00038705768,0.00056700328,0.0082061238,0.014666225,0.00054712845,0.00033254864,0.00078767197,0.00069393946,0.11901167,-0.010231319
24-2010-anest 20100420 134.015,24,ok,,91,250,10000,0.0003123163,0.00013505238,0.00089177425,0.00063264068,-0.078232127,0.0082536071,0.0012627976,0.00021882276,0.0011936887,0.00037813506,0.18038663,0.0047008162
25-2010-anest 20100422 133.021,25,ok,,91,250,10000,9.844903e-05,0.00011371308,0.00066567603,0.00054779733,0.0017696827,0.018258966,0.00026554915,0.00026065521,0.0006084912,0.00077709563,-0.09623074,0.00306907
26-2010-anest 20100507 132.013,26,ok,,91,250,10000,0.00011863552,0.00031868907,0.00057480086,0.00062868443,-0.063997887,0.020594829,0.00064715964,0.00056870858,0.00071274523,0.00071818016,0.096726867,-0.01346329
27-2010-anest 20100823 104.023,27,ok,,91,250,10000,0.00036526293,0.0002159419,0.00076514784,0.00073343886,0.0070867883,-0.0013102513,0.00017415667,0.00031337505,0.00056692699,0.00071530088,0.026992685,-0.022207638
28-2010-anest 20100824 092.016,28,ok,,91,250,10000,0.00027603644,0.00023213057,0.00062312278,0.00046570375,0.025374034,0.022544599,0.0004499606,0.00043784336,0.00055385697,0.00072159157,0.11850295,-0.027327987
29-2010-anest 20100921 142.023,29,ok,,91,250,10000,0.00025565587,0.00018846071,0.00050513936,0.00057446402,0.021343055,-0.016279074,0.00050430577,0.00014052455,0.0007650786,0.00061498547,0.017218312,0.0046568061
